都道府県,ジャンル,スポット名
佐賀,自然,有田ポーセリンパーク（自然と文化）
佐賀,グルメ,佐賀牛
佐賀,グルメ,シシリアンライス
佐賀,歴史,吉野ヶ里遺跡
佐賀,歴史,有田焼の里
長崎,自然,ハウステンボス（自然とテーマパーク）
長崎,自然,軍艦島（自然と歴史）
長崎,グルメ,長崎ちゃんぽん
長崎,グルメ,カステラ
長崎,歴史,平和公園
長崎,歴史,グラバー園
熊本,自然,阿蘇山
熊本,自然,鍋ヶ滝
熊本,グルメ,馬刺し
熊本,グルメ,熊本ラーメン
熊本,歴史,熊本城
熊本,歴史,水前寺成趣園
大分,自然,別府温泉
大分,自然,由布岳
大分,グルメ,とり天
大分,グルメ,だんご汁
大分,歴史,宇佐神宮
大分,歴史,臼杵石仏
宮崎,自然,高千穂峡
宮崎,自然,青島
宮崎,グルメ,宮崎牛
宮崎,グルメ,チキン南蛮
宮崎,歴史,鵜戸神宮
宮崎,歴史,宮崎神宮
鹿児島,自然,屋久島
鹿児島,自然,桜島
鹿児島,グルメ,黒豚料理
鹿児島,グルメ,さつま揚げ
鹿児島,歴史,仙巌園
鹿児島,歴史,西郷隆盛像
沖縄,自然,古宇利島
沖縄,自然,美ら海水族館（自然と文化）
沖縄,グルメ,国際通り
沖縄,グルメ,沖縄そば
沖縄,歴史,首里城
沖縄,歴史,平和祈念公園
